"room_id","host_id","room_type","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","last_modified"
10567830,1651480,"Shared room","South End",0,0,1,1,500,42.341763,-71.075397,2017-07-10 18:46:02
8404805,26956083,"Shared room","Brighton",0,0,1,1,225,42.360686,-71.141508,2017-07-10 18:46:00
18356892,127064903,"Shared room","Roxbury",0,0,2,1,150,42.337483,-71.079116,2017-07-10 18:45:58
5976821,432317,"Shared room","South End",106,5,3,1,125,42.344125,-71.070483,2017-07-10 18:45:56
14821064,21938320,"Shared room","Back Bay",2,0,1,1,105,42.351066,-71.080316,2017-07-10 18:45:55
8696200,19470226,"Shared room","Downtown",12,5,2,1,103,42.366695,-71.066336,2017-07-10 18:45:55
19625080,76727796,"Shared room","Allston",0,0,2,1,80,42.34827,-71.133825,2017-07-10 18:45:53
5990896,31035017,"Shared room","Fenway",56,4.5,1,1,85,42.342757,-71.090121,2017-07-10 18:45:53
13711242,40459423,"Shared room","Downtown",9,5,2,1,90,42.351019,-71.064549,2017-07-10 18:45:53
3792147,6989109,"Shared room","South Boston",72,4.5,1,1,83,42.331261,-71.046148,2017-07-10 18:45:53
12071820,64682226,"Shared room","Jamaica Plain",8,4.5,2,1,75,42.30688,-71.112318,2017-07-10 18:45:51
15052939,95139475,"Shared room","East Boston",0,0,1,1,70,42.382627,-71.0201,2017-07-10 18:45:51
3678429,18165984,"Shared room","Dorchester",8,5,1,1,80,42.284938,-71.076511,2017-07-10 18:45:51
19593617,127402910,"Shared room","South Boston",0,0,1,1,74,42.334954,-71.035627,2017-07-10 18:45:51
9949819,31021638,"Shared room","South End",2,0,2,1,77,42.346509,-71.073372,2017-07-10 18:45:50
19727919,139072570,"Shared room","East Boston",0,0,1,1,78,42.380875,-71.023837,2017-07-10 18:45:50
19593720,45303417,"Shared room","Allston",0,0,2,1,70,42.36306,-71.134001,2017-07-10 18:45:50
18968002,34876974,"Shared room","Fenway",3,3.5,2,1,75,42.345438,-71.105621,2017-07-10 18:45:50
6930501,30128383,"Shared room","Roxbury",12,5,2,1,71,42.33655,-71.086097,2017-07-10 18:45:50
19490615,80585336,"Shared room","Jamaica Plain",0,0,1,1,75,42.317082,-71.101399,2017-07-10 18:45:50
19746860,120404049,"Shared room","Roxbury",0,0,1,1,65,42.328383,-71.087248,2017-07-10 18:45:50
6489209,26098645,"Shared room","South Boston",25,5,2,1,75,42.329976,-71.059102,2017-07-10 18:45:50
19236205,134672290,"Shared room","Jamaica Plain",1,0,2,1,70,42.300939,-71.112678,2017-07-10 18:45:50
2862120,1416883,"Shared room","Beacon Hill",62,4.5,1,1,70,42.360204,-71.0684,2017-07-10 18:45:50
3641545,6608084,"Shared room","Dorchester",6,5,8,1,68,42.308042,-71.047882,2017-07-10 18:45:50
16125278,48522319,"Shared room","Jamaica Plain",26,4.5,2,1,69,42.322029,-71.10405,2017-07-10 18:45:50
15756423,64446129,"Shared room","Chinatown",3,5,2,1,70,42.352314,-71.060313,2017-07-10 18:45:50
12446656,12790789,"Shared room","Fenway",13,4.5,2,1,70,42.344627,-71.094908,2017-07-10 18:45:50
15064899,95259405,"Shared room","South End",66,4.5,2,1,65,42.342583,-71.075406,2017-07-10 18:45:50
12540640,6610984,"Shared room","Allston",17,5,2,1,52,42.351896,-71.12958,2017-07-10 18:45:48
16367387,14395956,"Shared room","West Roxbury",0,0,2,1,55,42.301978,-71.166541,2017-07-10 18:45:48
7245413,37881504,"Shared room","Allston",1,0,2,1,50,42.352935,-71.127714,2017-07-10 18:45:48
11043756,35423230,"Shared room","Allston",2,0,1,1,58,42.355342,-71.138265,2017-07-10 18:45:46
18878705,121126192,"Shared room","Fenway",0,0,1,1,42,42.344223,-71.087061,2017-07-10 18:45:46
5447285,28254412,"Shared room","Brighton",2,0,2,1,44,42.34028,-71.143274,2017-07-10 18:45:46
14533117,89873768,"Shared room","Fenway",5,4.5,1,1,51,42.346156,-71.092515,2017-07-10 18:45:46
4598026,5383468,"Shared room","Allston",26,5,1,1,47,42.350468,-71.13581,2017-07-10 18:45:46
19605386,26061215,"Shared room","Downtown",0,0,1,1,59,42.351592,-71.063454,2017-07-10 18:45:46
17015877,67645423,"Shared room","Fenway",4,5,2,1,45,42.342957,-71.086189,2017-07-10 18:45:46
8337048,16330682,"Shared room","Mission Hill",23,5,3,1,45,42.330703,-71.099999,2017-07-10 18:45:44
18933243,108993747,"Shared room","Fenway",11,5,1,1,44,42.345418,-71.093082,2017-07-10 18:45:44
14885917,93364702,"Shared room","East Boston",34,5,2,1,50,42.373762,-71.038077,2017-07-10 18:45:44
728238,2139546,"Shared room","Jamaica Plain",95,4.5,2,1,54,42.309632,-71.116218,2017-07-10 18:45:44
19502664,2624443,"Shared room","Fenway",0,0,2,1,60,42.34724,-71.089371,2017-07-10 18:45:44
13355213,25149641,"Shared room","Allston",6,5,1,1,49,42.349999,-71.133253,2017-07-10 18:45:44
18706454,12521814,"Shared room","Roxbury",3,4.5,1,1,57,42.319036,-71.097426,2017-07-10 18:45:44
15634337,32097009,"Shared room","Jamaica Plain",8,5,1,1,50,42.298636,-71.111825,2017-07-10 18:45:44
9878803,29940942,"Shared room","Fenway",33,4.5,1,1,50,42.346267,-71.106227,2017-07-10 18:45:44
19103731,120181840,"Shared room","South Boston",14,5,1,1,50,42.334802,-71.054153,2017-07-10 18:45:44
12761363,69422156,"Shared room","Brighton",2,0,1,1,40,42.346481,-71.138486,2017-07-10 18:45:41
9407895,41317613,"Shared room","Mission Hill",11,3.5,1,1,28,42.333804,-71.096172,2017-07-10 18:45:41
18600221,55645607,"Shared room","Allston",0,0,2,1,29,42.347452,-71.140124,2017-07-10 18:45:41
