room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12071820,64682226,Shared room,,Jamaica Plain,7,4.5,2,1.0,75.0,,42.30688,-71.112318,2017-01-14 10:03:21.972017
5447285,28254412,Shared room,,Brighton,2,0.0,2,1.0,44.0,,42.34028,-71.143274,2017-01-14 10:03:21.120635
10567830,1651480,Shared room,,South End,0,0.0,1,1.0,500.0,,42.341763,-71.075397,2017-01-14 10:03:18.831973
8404805,26956083,Shared room,,Brighton,0,0.0,1,1.0,225.0,,42.360686,-71.141508,2017-01-14 10:03:17.678858
14821064,21938320,Shared room,,Back Bay,2,0.0,1,1.0,200.0,,42.351066,-71.080316,2017-01-14 10:03:16.429156
8828147,3958442,Shared room,,South Boston,4,5.0,1,1.0,159.0,,42.341526,-71.055594,2017-01-14 10:03:15.249668
14574734,88360952,Shared room,,Downtown,8,5.0,2,1.0,175.0,,42.350446,-71.064919,2017-01-14 10:03:15.247031
14235257,83636316,Shared room,,Longwood Medical Area,0,0.0,2,1.0,100.0,,42.34262,-71.103627,2017-01-14 10:03:12.866980
15774455,102018097,Shared room,,Chinatown,2,0.0,1,1.0,104.0,,42.352437,-71.061469,2017-01-14 10:03:12.858809
8696200,19470226,Shared room,,Downtown,12,5.0,2,1.0,103.0,,42.366695,-71.066336,2017-01-14 10:03:12.856018
3792147,6989109,Shared room,,South Boston,58,4.5,1,1.0,111.0,,42.331261,-71.046148,2017-01-14 10:03:12.852395
8770168,45980822,Shared room,,Back Bay,2,0.0,1,1.0,100.0,,42.352347,-71.084603,2017-01-14 10:03:11.699109
11948017,1426567,Shared room,,Roxbury,0,0.0,2,1.0,99.0,,42.297116,-71.092483,2017-01-14 10:03:11.686391
15438743,31620925,Shared room,,Mission Hill,2,0.0,1,1.0,99.0,,42.333947,-71.103113,2017-01-14 10:03:11.683745
9094905,4550056,Shared room,,Beacon Hill,21,5.0,2,1.0,85.0,,42.360871,-71.065136,2017-01-14 10:03:11.679662
5047340,10250028,Shared room,,Allston,12,5.0,4,1.0,99.0,,42.359427,-71.133423,2017-01-14 10:03:11.665578
8662258,26268405,Shared room,,Beacon Hill,89,5.0,2,1.0,89.0,,42.358505,-71.064052,2017-01-14 10:03:11.661692
3678429,18165984,Shared room,,Dorchester,8,5.0,1,1.0,80.0,,42.284938,-71.076511,2017-01-14 10:03:10.486099
11043756,35423230,Shared room,,Allston,1,0.0,1,1.0,68.0,,42.355342,-71.138265,2017-01-14 10:03:10.482792
12409126,462239,Shared room,,Roxbury,0,0.0,2,1.0,65.0,,42.328927,-71.08618,2017-01-14 10:03:10.476361
15052939,95139475,Shared room,,East Boston,0,0.0,1,1.0,70.0,,42.382627,-71.0201,2017-01-14 10:03:10.471380
15343566,16959054,Shared room,,East Boston,3,4.5,2,1.0,70.0,,42.371454,-71.032949,2017-01-14 10:03:09.125453
5976821,432317,Shared room,,South End,80,5.0,2,1.0,80.0,,42.344125,-71.070483,2017-01-14 10:03:09.114748
16516731,108580842,Shared room,,South End,0,0.0,2,1.0,63.0,,42.334009,-71.072529,2017-01-14 10:03:09.111493
9949819,31021638,Shared room,,South End,2,0.0,2,1.0,77.0,,42.346509,-71.073372,2017-01-14 10:03:09.105166
15059730,41962442,Shared room,,Dorchester,3,4.5,2,1.0,79.0,,42.318863,-71.041821,2017-01-14 10:03:09.099245
6489209,26098645,Shared room,,South Boston,19,5.0,2,1.0,75.0,,42.329976,-71.059102,2017-01-14 10:03:09.092532
15009005,86203385,Shared room,,Back Bay,43,4.5,2,1.0,62.0,,42.351241,-71.073829,2017-01-14 10:03:09.090169
5990896,31035017,Shared room,,Fenway,45,4.5,1,1.0,75.0,,42.342757,-71.090121,2017-01-14 10:03:09.087484
12446656,12790789,Shared room,,Fenway,12,4.5,2,1.0,70.0,,42.344627,-71.094908,2017-01-14 10:03:09.082413
6930501,30128383,Shared room,,Roxbury,12,5.0,2,1.0,71.0,,42.33655,-71.086097,2017-01-14 10:03:09.079075
16657458,9040678,Shared room,,Back Bay,0,0.0,3,1.0,75.0,,42.351497,-71.078301,2017-01-14 10:03:09.075852
7634067,204485,Shared room,,East Boston,11,5.0,2,1.0,50.0,,42.366616,-71.037211,2017-01-14 10:03:07.789283
14429876,3387042,Shared room,,North End,4,5.0,2,1.0,60.0,,42.367855,-71.055565,2017-01-14 10:03:07.787198
12540640,6610984,Shared room,,Allston,11,5.0,2,1.0,58.0,,42.351896,-71.12958,2017-01-14 10:03:06.519994
12336008,66334541,Shared room,,Dorchester,0,0.0,3,1.0,47.0,,42.31809,-71.063934,2017-01-14 10:03:06.506809
15932274,25688421,Shared room,,Fenway,0,0.0,1,1.0,60.0,,42.345178,-71.101024,2017-01-14 10:03:06.497674
16578045,108560094,Shared room,,Brighton,0,0.0,1,1.0,50.0,,42.356645,-71.160129,2017-01-14 10:03:06.495507
7245413,37881504,Shared room,,Allston,1,0.0,2,1.0,50.0,,42.352935,-71.127714,2017-01-14 10:03:06.490101
15605948,82376270,Shared room,,Allston,1,0.0,1,1.0,50.0,,42.350445,-71.134059,2017-01-14 10:03:05.171045
15217581,56086405,Shared room,,Jamaica Plain,3,4.5,2,1.0,44.0,,42.302876,-71.115468,2017-01-14 10:03:05.167152
13037372,9039817,Shared room,,Mission Hill,20,5.0,2,1.0,52.0,,42.331458,-71.109073,2017-01-14 10:03:05.164940
13355213,25149641,Shared room,,Allston,3,5.0,1,1.0,59.0,,42.349999,-71.133253,2017-01-14 10:03:05.155807
8337048,16330682,Shared room,,Mission Hill,20,4.5,3,1.0,45.0,,42.330703,-71.099999,2017-01-14 10:03:05.151101
14533117,89873768,Shared room,,Fenway,3,4.5,1,1.0,50.0,,42.346156,-71.092515,2017-01-14 10:03:05.148742
14885917,93364702,Shared room,,East Boston,17,5.0,2,1.0,60.0,,42.373762,-71.038077,2017-01-14 10:03:05.146511
4598026,5383468,Shared room,,Allston,26,5.0,1,1.0,47.0,,42.350468,-71.13581,2017-01-14 10:03:05.144078
14710769,91521392,Shared room,,Dorchester,7,5.0,1,1.0,55.0,,42.296633,-71.057876,2017-01-14 10:03:05.140792
6142396,31862615,Shared room,,East Boston,146,5.0,2,1.0,56.0,,42.368663,-71.03493,2017-01-14 10:03:05.137880
15064899,95259405,Shared room,,South End,28,4.5,1,1.0,50.0,,42.342583,-71.075406,2017-01-14 10:03:05.130608
12871137,70390911,Shared room,,Allston,3,0.0,1,1.0,35.0,,42.349352,-71.136227,2017-01-14 10:03:02.645311
12761363,69422156,Shared room,,Brighton,2,0.0,1,1.0,40.0,,42.346481,-71.138486,2017-01-14 10:03:02.642803
16115787,10418616,Shared room,,Charlestown,5,4.0,1,1.0,15.0,,42.381163,-71.068238,2017-01-14 10:03:02.640190
15856553,71842495,Shared room,,Fenway,0,0.0,1,1.0,31.0,,42.347922,-71.092361,2017-01-14 10:03:02.634825
15889673,40632609,Shared room,,Chinatown,3,4.5,1,1.0,40.0,,42.352014,-71.05972,2017-01-14 10:03:02.632399
7351514,18292698,Shared room,,Dorchester,0,0.0,1,1.0,40.0,,42.281142,-71.079616,2017-01-14 10:03:02.630125
15608589,36014408,Shared room,,Dorchester,4,5.0,1,1.0,20.0,,42.287328,-71.062809,2017-01-14 10:03:02.627559
9407895,41317613,Shared room,,Mission Hill,11,3.5,1,1.0,28.0,,42.333804,-71.096172,2017-01-14 10:03:01.212793
16289513,56649366,Shared room,,Fenway,0,0.0,1,1.0,29.0,,42.349637,-71.1019,2017-01-14 10:03:01.204375
16099435,64807776,Shared room,,Dorchester,0,0.0,1,1.0,26.0,,42.318971,-71.042138,2017-01-14 10:03:01.199189
16083533,48083607,Shared room,,Mission Hill,0,0.0,1,1.0,36.0,,42.331878,-71.104188,2017-01-14 10:03:01.178157
2219558,3945988,Shared room,,Back Bay,2,0.0,1,1.0,33.0,,42.351091,-71.086933,2017-01-14 10:03:01.174766
8703026,45686983,Shared room,,Roxbury,44,4.5,1,1.0,35.0,,42.3246,-71.097999,2017-01-14 10:03:01.170356
16514756,108560094,Shared room,,Brighton,1,0.0,2,1.0,40.0,,42.357029,-71.158569,2017-01-14 10:03:01.165003
16453993,107933343,Shared room,,Allston,0,0.0,1,1.0,28.0,,42.353316,-71.123218,2017-01-14 10:03:01.161917
14300921,605252,Shared room,,Roxbury,31,4.5,2,1.0,22.0,,42.325997,-71.078774,2017-01-14 10:03:00.079387
13264687,73947522,Shared room,,Brighton,6,4.0,2,1.0,40.0,,42.356393,-71.163964,2017-01-14 10:03:00.076597
14989956,2327276,Shared room,,Brighton,10,5.0,1,1.0,36.0,,42.3457,-71.144551,2017-01-14 10:03:00.071523
16125450,48522319,Shared room,,Jamaica Plain,3,4.0,2,1.0,35.0,,42.323469,-71.104125,2017-01-14 10:03:00.068973
13955674,83107234,Shared room,,Dorchester,5,5.0,1,1.0,40.0,,42.31221,-71.077375,2017-01-14 10:03:00.066422
16560960,109070979,Shared room,,Mission Hill,0,0.0,1,1.0,23.0,,42.333713,-71.096098,2017-01-14 10:03:00.063793
