room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
12540640,1309,6610984,Shared room,,Boston,,Allston,17,5.0,2,1.0,,52.0,,Pull out sofa next to T stop and 10 mins to BU,2017-06-11 15:06:48.285186,42.351896,-71.12958,0101000020E6100000CE8DE9094BC851C0EFCB99ED0A2D4540
8404805,1309,26956083,Shared room,,Boston,,Brighton,0,0.0,1,1.0,,225.0,,The Private Parking Space!,2017-06-11 15:06:43.780318,42.360686,-71.141508,0101000020E6100000D50792770EC951C0021077F52A2E4540
14574734,1309,88360952,Shared room,,Boston,,Downtown,8,5.0,2,1.0,,195.0,,Luxury high rise apartment building,2017-06-11 15:06:42.167549,42.350446,-71.064919,0101000020E6100000E67805A227C451C0CB811E6ADB2C4540
18356892,1309,127064903,Shared room,,Boston,,Roxbury,0,0.0,2,1.0,,150.0,,Cozy room,2017-06-11 15:06:40.800218,42.337483,-71.079116,0101000020E6100000C8258E3C10C551C05DFA97A4322B4540
5976821,1309,432317,Shared room,,Boston,,South End,103,5.0,3,1.0,,125.0,,Heart of the South End Near It All!,2017-06-11 15:06:39.366442,42.344125,-71.070483,0101000020E610000022FB20CB82C451C0355EBA490C2C4540
14821064,1309,21938320,Shared room,,Boston,,Back Bay,2,0.0,1,1.0,,105.0,,1 BR in the center of Newbury Street,2017-06-11 15:06:38.899630,42.351066,-71.080316,0101000020E61000001D56B8E523C551C0685E0EBBEF2C4540
8696200,1309,19470226,Shared room,,Boston,,Downtown,12,5.0,2,1.0,,103.0,,Downtown Boston Condo Living Room,2017-06-11 15:06:38.895509,42.366695,-71.066336,0101000020E61000000AA359D93EC451C0A94D9CDCEF2E4540
13972190,1309,1538079,Shared room,,Boston,,Back Bay,0,0.0,1,1.0,,99.0,,Shared Living Room in Back Bay next to Newbury,2017-06-11 15:06:37.427859,42.350147,-71.084433,0101000020E6100000016DAB5967C551C071E5EC9DD12C4540
13711242,1309,40459423,Shared room,,Boston,,Downtown,6,5.0,2,1.0,,90.0,,"Located in ""the heart of the city",2017-06-11 15:06:37.425568,42.351019,-71.064549,0101000020E610000054FF209221C451C027A3CA30EE2C4540
5990896,1309,31035017,Shared room,,Boston,,Fenway,55,4.5,1,1.0,,100.0,,"Studio, 2 min walk Symphony/T Hynes",2017-06-11 15:06:37.419017,42.342757,-71.090121,0101000020E6100000B3EBDE8AC4C551C0CFBC1C76DF2B4540
15052939,1309,95139475,Shared room,,Boston,,East Boston,0,0.0,1,1.0,,70.0,,Cosy couch available 5 min away from Airport,2017-06-11 15:06:35.953981,42.382627,-71.0201,0101000020E610000093A9825149C151C086C8E9EBF9304540
12071820,1309,64682226,Shared room,,Boston,,Jamaica Plain,8,4.5,2,1.0,,75.0,,Super Cozy Apt - An Artist's Home,2017-06-11 15:06:35.205960,42.30688,-71.112318,0101000020E61000002330D63730C751C0F3E505D847274540
3678429,1309,18165984,Shared room,,Boston,,Dorchester,8,5.0,1,1.0,,80.0,,Immaculate Home away from home,2017-06-11 15:06:35.203868,42.284938,-71.076511,0101000020E610000031B2648EE5C451C09EB12FD978244540
15059730,1309,41962442,Shared room,,Boston,,Dorchester,3,4.5,2,1.0,,79.0,,Harbor Apartment- a good way to relax,2017-06-11 15:06:35.201845,42.318863,-71.041821,0101000020E61000004ED2FC31ADC251C0C573B680D0284540
2862120,1309,1416883,Shared room,,Boston,,Beacon Hill,62,4.5,1,1.0,,78.0,,Beacon Hill Downtown Sofabed in LR,2017-06-11 15:06:35.197126,42.360204,-71.0684,0101000020E6100000F8C264AA60C451C0B7F1272A1B2E4540
9949819,1309,31021638,Shared room,,Boston,,South End,2,0.0,2,1.0,,77.0,,South End Near Backbay Garden Apt,2017-06-11 15:06:35.194554,42.346509,-71.073372,0101000020E61000004C1C7920B2C451C084622B685A2C4540
6930501,1309,30128383,Shared room,,Boston,,Roxbury,12,5.0,2,1.0,,71.0,,Loft with Balcony in South End,2017-06-11 15:06:35.189045,42.33655,-71.086097,0101000020E610000028D2FD9C82C551C002BC0512142B4540
196806,1309,958639,Shared room,,Boston,,Fenway,53,5.0,1,1.0,,79.0,,"Comfy couch, Centrally located",2017-06-11 15:06:35.186137,42.344524,-71.086837,0101000020E61000004CC5C6BC8EC551C0F357C85C192C4540
3641545,1309,6608084,Shared room,,Boston,,Dorchester,6,5.0,8,1.0,,68.0,,Special Circumstances Extra Room(s),2017-06-11 15:06:35.182902,42.308042,-71.047882,0101000020E61000004B04AA7F10C351C0B0E595EB6D274540
16125278,1309,48522319,Shared room,,Boston,,Jamaica Plain,23,4.5,2,1.0,,64.0,,Semi-Private Suite / 2 Min Walk to Subway!,2017-06-11 15:06:35.178295,42.322029,-71.10405,0101000020E610000086C954C1A8C651C08AAE0B3F38294540
15756423,1309,64446129,Shared room,,Boston,,Chinatown,3,5.0,2,1.0,,70.0,,Perfect Space Near Chinatown and Boston Common,2017-06-11 15:06:35.175780,42.352314,-71.060313,0101000020E610000083A10E2BDCC351C023F609A0182D4540
18968002,1309,34876974,Shared room,,Boston,,Fenway,0,0.0,2,1.0,,75.0,,Summer Rent @ Boston,2017-06-11 15:06:35.173244,42.345438,-71.105621,0101000020E61000005531957EC2C651C0D865F84F372C4540
12446656,1309,12790789,Shared room,,Boston,,Fenway,13,4.5,2,1.0,,70.0,,Comfy sofa bed right in the Fenway,2017-06-11 15:06:35.170907,42.344627,-71.094908,0101000020E61000003E0801F912C651C0C828CFBC1C2C4540
15009005,1309,86203385,Shared room,,Boston,,Back Bay,64,4.5,2,1.0,,62.0,,Living room Shared Space in Back Bay,2017-06-11 15:06:35.168783,42.351241,-71.073829,0101000020E6100000C51F459DB9C451C0D6011077F52C4540
